"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\__init__.py", "Python", 7, 0, 2, 9
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\app.py", "Python", 52, 13, 18, 83
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\__init__.py", "Python", 30, 1, 4, 35
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\base_processor.py", "Python", 59, 8, 17, 84
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\file_manager.py", "Python", 59, 0, 10, 69
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\image_operations.py", "Python", 185, 18, 39, 242
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\processor.py", "Python", 721, 90, 152, 963
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\progress_tracker.py", "Python", 40, 0, 7, 47
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\resource_monitor.py", "Python", 61, 1, 11, 73
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\settings_manager.py", "Python", 109, 1, 15, 125
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\temp_manager.py", "Python", 52, 0, 10, 62
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\utils.py", "Python", 31, 0, 4, 35
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\video_handler.py", "Python", 181, 12, 31, 224
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\video_processor.py", "Python", 59, 2, 10, 71
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\core\worker.py", "Python", 74, 3, 15, 92
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\gui\__init__.py", "Python", 5, 9, 5, 19
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\gui\dialogs.py", "Python", 218, 25, 51, 294
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\gui\dialogs\settings_dialog.py", "Python", 67, 7, 19, 93
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\gui\image_preview.py", "Python", 122, 21, 29, 172
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\gui\main_window.py", "Python", 466, 75, 108, 649
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\gui\managers\processing_manager.py", "Python", 53, 4, 12, 69
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\gui\managers\status_manager.py", "Python", 257, 2, 26, 285
"c:\Users\jtn01\OneDrive\Desktop\Github\satallite_processor\satellite_processor\gui\settings_dialog.py", "Python", 68, 4, 14, 86
